artist_id,title,cover_pic,created_at,spty_url,spty_uri,type
1,Renditions,https://i.scdn.co/image/ab67616d0000b2735be5e649385db0e7bafdd0bd,2014-04-24 23:33:09,https://open.spotify.com/album/4ZrXvw5I9kYg4rykwrYOoa,spotify:album:4ZrXvw5I9kYg4rykwrYOoa,album
8,A New Day,https://i.scdn.co/image/ab67616d0000b27377e4d763b642882770fcab53,2024-11-29 03:46:52,https://open.spotify.com/album/6CqRjYrmYZmtwMaczRHafn,spotify:album:6CqRjYrmYZmtwMaczRHafn,album
12,"Renditions, Pt. 2",https://i.scdn.co/image/ab67616d0000b2735601a443ebbb9f9ecaa99ca5,2018-02-23 13:34:39,https://open.spotify.com/album/6bvHD8AjhDxIEgXIHPDxHK,spotify:album:6bvHD8AjhDxIEgXIHPDxHK,album
11,B-Sides,https://i.scdn.co/image/ab67616d0000b2738690e28de38cb5f78e2caec6,2019-08-09 00:16:42,https://open.spotify.com/album/4M5cwBAg9CrPvSdVvLNIfd,spotify:album:4M5cwBAg9CrPvSdVvLNIfd,album
15,Daydreaming,https://i.scdn.co/image/ab67616d0000b2731f323638a085588c7b3b395d,2022-02-25 17:06:53,https://open.spotify.com/album/0v7YCcUT58cBmo8Hagrqxh,spotify:album:0v7YCcUT58cBmo8Hagrqxh,album
4,Drops (Ao Vivo),https://i.scdn.co/image/ab67616d0000b27315384b1ca67affc3dc8a200f,2016-12-10 11:26:07,https://open.spotify.com/album/6yJXFjf5s8z7DKvu3fKAuA,spotify:album:6yJXFjf5s8z7DKvu3fKAuA,album
19,Drip da Roça,https://i.scdn.co/image/ab67616d0000b273849ae3155cf185e2a6ec4979,2020-04-17 03:35:11,https://open.spotify.com/album/4TwF5fxx1cqbEbaqXfTY65,spotify:album:4TwF5fxx1cqbEbaqXfTY65,compilation
7,Dripped,https://i.scdn.co/image/ab67616d0000b2739410ecdef0fc6e95273100a7,2024-07-02 08:05:21,https://open.spotify.com/album/1lAIB5fOpiCHuB1788YyX8,spotify:album:1lAIB5fOpiCHuB1788YyX8,album
15,Saviors,https://i.scdn.co/image/ab67616d0000b2734e805200727de6c107de5b33,2024-01-19 09:37:32,https://open.spotify.com/album/4AIeqAMDyIT884A9uA2A0i,spotify:album:4AIeqAMDyIT884A9uA2A0i,album
6,Certain Things (feat. Chasing Grace) [Sped Up],https://i.scdn.co/image/ab67616d0000b2735c60c3a15d8b9f15dcc7dedb,2013-11-04 18:08:39,https://open.spotify.com/album/0tuthv7XCp3sWBOxbKdYOp,spotify:album:0tuthv7XCp3sWBOxbKdYOp,single
3,Play Deep,https://i.scdn.co/image/ab67616d0000b273cd7e670a91d0263d2ee1d8a7,1985-06-29 10:35:25,https://open.spotify.com/album/0EriQlp6zHpb1ThLZcandW,spotify:album:0EriQlp6zHpb1ThLZcandW,album
13,Information Society,https://i.scdn.co/image/ab67616d0000b273e4263dbad5243053ec4a8470,1988-06-21 04:35:31,https://open.spotify.com/album/1pQhBQI8Oxo4p2wh61rGfg,spotify:album:1pQhBQI8Oxo4p2wh61rGfg,album
16,To Build A Home (Versions),https://i.scdn.co/image/ab67616d0000b2730eb232a1b19b8c8139645a82,2007-10-29 05:25:52,https://open.spotify.com/album/52bYfn1wSbaRAQKq0Ox3DW,spotify:album:52bYfn1wSbaRAQKq0Ox3DW,single
4,Build It Better,https://i.scdn.co/image/ab67616d0000b2735725506f108b0d72912d60f7,2015-03-19 17:10:49,https://open.spotify.com/album/0lY0yzXEGGZP85UtyPbJTZ,spotify:album:0lY0yzXEGGZP85UtyPbJTZ,single
9,Again (feat. XXXTENTACION),https://i.scdn.co/image/ab67616d0000b27349af7d5bfd29ae589a99e1cd,2017-09-22 12:32:47,https://open.spotify.com/album/5UD36hu4fYZ6R8b8crkKL7,spotify:album:5UD36hu4fYZ6R8b8crkKL7,single
11,Again,https://i.scdn.co/image/ab67616d0000b27381bb674330f0276e88bd0722,2000-01-01 23:36:50,https://open.spotify.com/album/7aiQ0WWBBC0HzeI0PgGYJs,spotify:album:7aiQ0WWBBC0HzeI0PgGYJs,single
4,Candle Burning,https://i.scdn.co/image/ab67616d0000b273d487b00796738119685ea1f7,2025-05-23 16:15:08,https://open.spotify.com/album/5vqMpOnLL5H7eMNCtawZjN,spotify:album:5vqMpOnLL5H7eMNCtawZjN,album
8,Hebron Gate,https://i.scdn.co/image/ab67616d0000b273d4c803969da649e554a660f0,2002 12:12:04,https://open.spotify.com/album/7ADnYQ1NcJqJnhFYXs1Q6T,spotify:album:7ADnYQ1NcJqJnhFYXs1Q6T,album
11,Each One Teach One,https://i.scdn.co/image/ab67616d0000b2733547034c8967b828a96412bf,2018-03-16 01:18:47,https://open.spotify.com/album/5L4yINewZYSXZk5M89F4qt,spotify:album:5L4yINewZYSXZk5M89F4qt,album
9,Here I Am,https://i.scdn.co/image/ab67616d0000b27390162d6aad19f75ec4a21037,2009-07-28 16:02:51,https://open.spotify.com/album/0y29LlBPnzhtmdaLtGtTIi,spotify:album:0y29LlBPnzhtmdaLtGtTIi,album
9,HELLO FUNK,https://i.scdn.co/image/ab67616d0000b273a1fb4b7fba4bad325c7d49ad,2025-04-25 17:12:14,https://open.spotify.com/album/2LH8UQngJuUeH3vn5ZCWwd,spotify:album:2LH8UQngJuUeH3vn5ZCWwd,single
5,Made In Favela,https://i.scdn.co/image/ab67616d0000b273e6e4c758782e16dfacbfb3df,2025-04-10 12:51:05,https://open.spotify.com/album/7sMQ04leB6nB6A42lx1BsJ,spotify:album:7sMQ04leB6nB6A42lx1BsJ,single
12,Made To Feel,https://i.scdn.co/image/ab67616d0000b273f249990c726499ab31b0c5c6,2023-10-20 02:51:54,https://open.spotify.com/album/2PehAfdaLCiuOVpK6afHjd,spotify:album:2PehAfdaLCiuOVpK6afHjd,single
0,Made It,https://i.scdn.co/image/ab67616d0000b273f167f1ca3c2de6c415352db6,2025-03-08 11:40:39,https://open.spotify.com/album/2ayRmsydS50kZ5oaGlxmro,spotify:album:2ayRmsydS50kZ5oaGlxmro,single
10,Hitmado 2,https://i.scdn.co/image/ab67616d0000b27352a9bc52729a7659b25fe24e,2023-12-19 05:52:50,https://open.spotify.com/album/4LigYUbo1LoqMKZaKchl39,spotify:album:4LigYUbo1LoqMKZaKchl39,single
14,Call Me,https://i.scdn.co/image/ab67616d0000b27313cbe3e4dfa81fe5b91f2f1c,2004-01-01 14:33:29,https://open.spotify.com/album/18fOLsMG8Msf1DEaW0E71K,spotify:album:18fOLsMG8Msf1DEaW0E71K,single
14,MONTERO (Call Me By Your Name),https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d,2021-03-31 09:50:40,https://open.spotify.com/album/2Hjcfw8zHN4dJDZJGOzLd6,spotify:album:2Hjcfw8zHN4dJDZJGOzLd6,single
15,Information Society,https://i.scdn.co/image/ab67616d0000b273e4263dbad5243053ec4a8470,1988-06-21 11:07:21,https://open.spotify.com/album/1pQhBQI8Oxo4p2wh61rGfg,spotify:album:1pQhBQI8Oxo4p2wh61rGfg,album
19,Call Me (Slowed),https://i.scdn.co/image/ab67616d0000b273af279eb21d4842eae7066f36,2021-10-06 16:09:51,https://open.spotify.com/album/3krinBrIqu08BHXlrWX88N,spotify:album:3krinBrIqu08BHXlrWX88N,single
11,Brand New Eyes,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,2009-09-22 08:14:13,https://open.spotify.com/album/27UqZoE1kV6sIV6uQcI28A,spotify:album:27UqZoE1kV6sIV6uQcI28A,album
14,Brand New Day,https://i.scdn.co/image/ab67616d0000b273db85318130166610d4095c51,1999-09-24 09:37:55,https://open.spotify.com/album/2lKs5704qlvP9V9muKZwqY,spotify:album:2lKs5704qlvP9V9muKZwqY,album
13,A Brand New Me: Aretha Franklin (with The Royal Philharmonic Orchestra),https://i.scdn.co/image/ab67616d0000b273d4750565018a7842b38914df,2017-11-10 19:50:39,https://open.spotify.com/album/5ugc0oyFijTzQG3nHwRJ7A,spotify:album:5ugc0oyFijTzQG3nHwRJ7A,album
6,Metal Health,https://i.scdn.co/image/ab67616d0000b27321fbdd09672c5f8bcfd66165,1983 14:45:52,https://open.spotify.com/album/3Q3rQ8FK1e9Fd9Gv9xm3CK,spotify:album:3Q3rQ8FK1e9Fd9Gv9xm3CK,album
0,Quiet Moments,https://i.scdn.co/image/ab67616d0000b273c0ffba18b0509931ff97967c,2022-07-08 17:49:30,https://open.spotify.com/album/0pWegX0x0Fa9dr4bcEbOok,spotify:album:0pWegX0x0Fa9dr4bcEbOok,album
5,Quiet Nights (Slowed and Reverb),https://i.scdn.co/image/ab67616d0000b273c9157ffade0e1250bdc20aab,2024-10-04 17:17:49,https://open.spotify.com/album/6mPj9RpjRcpA3av3lfqNLc,spotify:album:6mPj9RpjRcpA3av3lfqNLc,single
6,Quietud Serena,https://i.scdn.co/image/ab67616d0000b273b6baf520ec94028c8342a7df,2023-07-24 05:35:33,https://open.spotify.com/album/5q1fflAHdzXF7tAtNLno7w,spotify:album:5q1fflAHdzXF7tAtNLno7w,single
11,Stay on These Roads,https://i.scdn.co/image/ab67616d0000b27310816799318a67035593e8df,1988-05-03 17:31:14,https://open.spotify.com/album/6lka22PtQOmCt5ri8GPSZm,spotify:album:6lka22PtQOmCt5ri8GPSZm,album
18,Bright Lights (Lights Re-pack / Bonus Version),https://i.scdn.co/image/ab67616d0000b273512cd44d21eacbfeda4affe2,2010-01-01 10:05:08,https://open.spotify.com/album/64Pv36CiG9rBcyvKnud02V,spotify:album:64Pv36CiG9rBcyvKnud02V,album
